ID,invoice_ID,lineNumber,description,quantity,unitPrice,totalAmount
13f8243a-4632-49a9-a822-dd642b2872b6,dbb4c3b3-ef06-455c-9b21-1d0f6d606512,3,Installation,6,3000.00,18000.00
1a818504-61ec-4f7a-b030-1f2225803159,56af0197-bb11-4b85-84cd-c97b2145069e,1,Spare Parts,2,1250.00,2500.00
42b72750-064a-405a-b751-a56c1f59d795,56af0197-bb11-4b85-84cd-c97b2145069e,2,Installation,3,2250.00,6750.00
3c3657dd-84ed-464c-b4c4-bf3b869a94c7,fd01beba-ad6d-4bcf-b5c0-186b0c9da66b,1,Installation,3,1500.00,4500.00
838b57d2-f101-440d-9a75-4a9a7f191eb9,fd01beba-ad6d-4bcf-b5c0-186b0c9da66b,2,Logistics,4,2500.00,10000.00
956b5356-80cd-473f-bc49-683f859b7d3f,fd01beba-ad6d-4bcf-b5c0-186b0c9da66b,3,Software Licenses,5,3500.00,17500.00
25fa1a89-5da6-4fe6-b18b-a57be3431897,36b0d321-8f0e-428a-8b54-655be098ad2d,1,Logistics,4,1750.00,7000.00
78dbd5df-62d4-4dd7-9771-1ab8bce091cd,36b0d321-8f0e-428a-8b54-655be098ad2d,2,Software Licenses,5,2750.00,13750.00
9de3a70c-acf3-4bef-8a64-3c7300747a36,962e4ac8-97a7-4c90-89af-1fd090a8e9d7,1,Software Licenses,2,2000.00,4000.00
5c386239-1d37-494c-8a3f-1c98100424d0,962e4ac8-97a7-4c90-89af-1fd090a8e9d7,2,Support Services,3,3000.00,9000.00
c84d2a5d-6c51-498c-945e-2b0fe2602a6f,962e4ac8-97a7-4c90-89af-1fd090a8e9d7,3,Consulting Services,4,4000.00,16000.00
51b709b7-a8a1-4554-8538-5eb6c66e8701,a253f1ff-8100-42e0-9b61-013149bd4b92,1,Support Services,3,1000.00,3000.00
7bab36ff-7507-44a3-a964-88fab3e0ddb9,a253f1ff-8100-42e0-9b61-013149bd4b92,2,Consulting Services,4,2000.00,8000.00
9687e7be-0d0e-47a3-8e99-3226c2b06c00,2e913a6e-d870-49b7-9614-54dfdd7575a8,1,Consulting Services,4,1250.00,5000.00
88750c8b-8b66-4d5c-8475-51bb9b0b0dd6,2e913a6e-d870-49b7-9614-54dfdd7575a8,2,Hardware Units,5,2250.00,11250.00
4c4e3df9-d0a0-4b0e-b557-6966a10a045e,2e913a6e-d870-49b7-9614-54dfdd7575a8,3,Maintenance,6,3250.00,19500.00
95ed4c8a-a6b1-4f9e-ac26-10bcb429a4fa,d10cdcd6-80a1-4f06-ab28-af48266fd19d,1,Hardware Units,2,1500.00,3000.00
cca4ea27-d5d8-4523-92e4-818b592f749b,d10cdcd6-80a1-4f06-ab28-af48266fd19d,2,Maintenance,3,2500.00,7500.00
5f54b4b5-8061-4f46-b673-939572c17bd3,014963ab-76a9-4db9-b10a-ebc3713c4abf,1,Maintenance,3,1750.00,5250.00
4495d71d-7145-4a42-b48e-6134cc01b039,014963ab-76a9-4db9-b10a-ebc3713c4abf,2,Training,4,2750.00,11000.00
7825bd3e-dbd4-4d2d-9257-85cb40ebd279,014963ab-76a9-4db9-b10a-ebc3713c4abf,3,Cloud Subscription,5,3750.00,18750.00
fec6eed8-9da3-4780-8b4a-11d2ec78f30e,c773705a-6a28-4956-9506-f489a2a5591f,1,Training,4,2000.00,8000.00
d7e2f5f7-aca1-4255-a6a0-b938831bf5e5,c773705a-6a28-4956-9506-f489a2a5591f,2,Cloud Subscription,5,3000.00,15000.00
0ea89712-e859-4847-bda5-50df5c0c0855,33d31ade-3507-4e40-89ab-dea2b3e5d842,1,Cloud Subscription,2,1000.00,2000.00
0fb74112-b977-48b6-b020-db244033c03a,33d31ade-3507-4e40-89ab-dea2b3e5d842,2,Spare Parts,3,2000.00,6000.00
45e3b941-4b60-4d84-87ac-dc6b9ad47e91,33d31ade-3507-4e40-89ab-dea2b3e5d842,3,Installation,4,3000.00,12000.00
0fda5f2e-d175-4eb1-bd38-3b5b6c55b8d9,08fbe3ec-7fc0-4d5f-be99-591813d5d19f,1,Spare Parts,3,1250.00,3750.00
814e61a6-7819-42d8-91f0-10e3b6f48af7,08fbe3ec-7fc0-4d5f-be99-591813d5d19f,2,Installation,4,2250.00,9000.00
35db341c-7a3f-4425-9793-92b0e364b087,f7340042-2fcb-4217-ba85-def9832302a1,1,Installation,4,1500.00,6000.00
4ee20729-76ef-42e3-b0a2-a5f118d12522,f7340042-2fcb-4217-ba85-def9832302a1,2,Logistics,5,2500.00,12500.00
46f8a472-43c1-49a3-a395-05c8fb70455f,f7340042-2fcb-4217-ba85-def9832302a1,3,Software Licenses,6,3500.00,21000.00
5f923670-d510-4be0-973a-92cdaec1013f,86e463ec-ff17-44a8-9e44-fcc824e15492,1,Logistics,2,1750.00,3500.00
15705de1-3eaa-4645-a3a4-75d8905d1dbe,86e463ec-ff17-44a8-9e44-fcc824e15492,2,Software Licenses,3,2750.00,8250.00
c2888914-66ac-4907-bc36-82d472bd6edc,e7a78f35-b20f-4b04-bb4c-c74f5b5edc3c,1,Software Licenses,3,2000.00,6000.00
5c5a29fe-11ff-404a-a05b-058d95aac49b,e7a78f35-b20f-4b04-bb4c-c74f5b5edc3c,2,Support Services,4,3000.00,12000.00
f015b435-0fca-4e22-8c23-a203f5d487a5,e7a78f35-b20f-4b04-bb4c-c74f5b5edc3c,3,Consulting Services,5,4000.00,20000.00
